[INFO ] 2024-10-22 11:19:13,930 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1619716101
[INFO ] 2024-10-22 11:19:13,939 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1619716101 is finished
[INFO ] 2024-10-22 11:19:13,942 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1850774470
[INFO ] 2024-10-22 11:19:13,944 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1850774470 is finished
[INFO ] 2024-10-22 11:19:17,817 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -741752578
[INFO ] 2024-10-22 11:19:17,823 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -741752578 is finished
[INFO ] 2024-10-22 11:19:17,826 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1167995757
[INFO ] 2024-10-22 11:19:17,828 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1167995757 is finished
[INFO ] 2024-10-22 11:19:17,831 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1111643068
[INFO ] 2024-10-22 11:19:17,844 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1111643068 is finished
[INFO ] 2024-10-22 11:19:17,847 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -606009989
[INFO ] 2024-10-22 11:19:17,851 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -606009989 is finished
[INFO ] 2024-10-22 11:19:22,467 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -294048960
[INFO ] 2024-10-22 11:19:22,472 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -294048960 is finished
[INFO ] 2024-10-22 11:19:22,474 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -532744722
[INFO ] 2024-10-22 11:19:22,476 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -532744722 is finished
[INFO ] 2024-10-22 11:19:22,478 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -451965059
[INFO ] 2024-10-22 11:19:22,491 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -451965059 is finished
[INFO ] 2024-10-22 11:19:22,493 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 638754492
[INFO ] 2024-10-22 11:19:22,495 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 638754492 is finished
[INFO ] 2024-10-22 11:19:27,033 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 153654658
[INFO ] 2024-10-22 11:19:27,041 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 153654658 is finished
[INFO ] 2024-10-22 11:19:27,042 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2061482095
[INFO ] 2024-10-22 11:19:27,044 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 2061482095 is finished
[INFO ] 2024-10-22 11:19:27,048 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -2015573186
[INFO ] 2024-10-22 11:19:27,063 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -2015573186 is finished
[INFO ] 2024-10-22 11:19:27,067 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1883518973
[INFO ] 2024-10-22 11:19:27,068 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1883518973 is finished
[INFO ] 2024-10-22 11:19:31,079 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1413199662
[INFO ] 2024-10-22 11:19:31,084 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1413199662 is finished
[INFO ] 2024-10-22 11:19:31,085 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -995070075
[INFO ] 2024-10-22 11:19:31,087 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -995070075 is finished
[INFO ] 2024-10-22 11:19:31,089 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -2055213612
[INFO ] 2024-10-22 11:19:31,101 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -2055213612 is finished
[INFO ] 2024-10-22 11:19:31,103 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -796433517
[INFO ] 2024-10-22 11:19:31,105 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -796433517 is finished
[INFO ] 2024-10-22 11:19:35,295 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1860903280
[INFO ] 2024-10-22 11:19:35,299 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1860903280 is finished
[INFO ] 2024-10-22 11:19:35,301 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1599156742
[INFO ] 2024-10-22 11:19:35,303 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1599156742 is finished
[INFO ] 2024-10-22 11:19:35,306 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 676145557
[INFO ] 2024-10-22 11:19:35,316 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 676145557 is finished
[INFO ] 2024-10-22 11:19:35,319 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 448330964
[INFO ] 2024-10-22 11:19:35,321 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 448330964 is finished
[INFO ] 2024-10-22 11:20:48,083 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1860903280
[INFO ] 2024-10-22 11:20:48,087 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1860903280 is finished
[INFO ] 2024-10-22 11:20:48,089 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1599156742
[INFO ] 2024-10-22 11:20:48,091 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1599156742 is finished
[INFO ] 2024-10-22 11:20:48,093 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 676145557
[INFO ] 2024-10-22 11:20:48,101 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 676145557 is finished
[INFO ] 2024-10-22 11:20:48,104 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 448330964
[INFO ] 2024-10-22 11:20:48,106 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 448330964 is finished
[INFO ] 2024-10-22 11:20:54,239 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1986360398
[INFO ] 2024-10-22 11:20:54,241 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1986360398 is finished
[INFO ] 2024-10-22 11:20:54,243 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -101583737
[INFO ] 2024-10-22 11:20:54,244 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -101583737 is finished
[INFO ] 2024-10-22 11:20:54,247 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -887462570
[INFO ] 2024-10-22 11:20:54,256 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -887462570 is finished
[INFO ] 2024-10-22 11:20:54,257 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1693095445
[INFO ] 2024-10-22 11:20:54,259 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1693095445 is finished
[INFO ] 2024-10-22 11:20:58,559 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1538656780
[INFO ] 2024-10-22 11:20:58,562 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1538656780 is finished
[INFO ] 2024-10-22 11:20:58,564 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1802324216
[INFO ] 2024-10-22 11:20:58,565 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1802324216 is finished
[INFO ] 2024-10-22 11:20:58,567 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1843896599
[INFO ] 2024-10-22 11:20:58,583 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1843896599 is finished
[INFO ] 2024-10-22 11:20:58,588 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1357107370
[INFO ] 2024-10-22 11:20:58,589 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1357107370 is finished
[INFO ] 2024-10-22 11:21:02,678 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1090953162
[INFO ] 2024-10-22 11:21:02,681 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1090953162 is finished
[INFO ] 2024-10-22 11:21:02,684 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 791902601
[INFO ] 2024-10-22 11:21:02,686 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 791902601 is finished
[INFO ] 2024-10-22 11:21:02,688 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 280288472
[INFO ] 2024-10-22 11:21:02,708 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 280288472 is finished
[INFO ] 2024-10-22 11:21:02,710 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -112342889
[INFO ] 2024-10-22 11:21:02,713 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -112342889 is finished
[INFO ] 2024-10-22 11:21:06,365 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -643249544
[INFO ] 2024-10-22 11:21:06,370 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -643249544 is finished
[INFO ] 2024-10-22 11:21:06,372 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -908837878
